text;lang;country
Heel herkenbaar, de sfeer nu in Abidjan. Allez les éléphants! Allez Marc! #CIVMAR @LesElephants #RoadToRussia… https://t.co/GxpzP0OjlE;fr;Belgium
Nos étalons étant éliminés, place aux 🐘 éléphants da la #CIV, notre nation soeur que nous soutenons pour ce match d… https://t.co/zj87DIXPhO;fr;
RT @odiantotal: Nos étalons étant éliminés, place aux 🐘 éléphants da la #CIV, notre nation soeur que nous soutenons pour ce match d… ;fr;
RT @DJLORDISSA: Bravo à nos gaindés les Lions de la Téranga 💪🏽✊🏽👏🏽 #Russia2018 #kebetu #worldcup #football #Senegal #soccer #bravo #worldcu…;fr;
"Un bouillantissime !! 🔥🔥
Côte d’Ivoire - Maroc #WorldCup2018 
#Renard #Wilmots #CIVMAR";fr;France
"RT @Antoine_LeRoy: Un bouillantissime !! 🔥🔥
Côte d’Ivoire - Maroc #WorldCup2018 
#Renard #Wilmots #CIVMAR";fr;
RT @FrankLevesque09: Gros match pour les 🐘 Ivoiriens dans 15 minutes. Allez 🇨🇮 je veux vous voir en Russie #WorldCup2018;fr;
"Clip officiel des lions 🦁 de l’atlas « ALLEZ ALLEZ MAROC 🇲🇦 par Hamid Bouchnak 
#FootBallMarocain #WorldCup2018... https://t.co/MkVKClDWlE";fr;
Je vois dejà tous les joueurs marocains marié à des russes #WorldCup2018 2- 0 !;fr;
"Hervé Renard &gt; Guardiola + Mourinho.
#CIVMAR #WorldCupqualifiers #WorldCup2018";fr;
Cela sent la fin pour @WilmotsMarc 🤨 @CFootRTBF #WorldCup2018 #RoadtoRussia;fr;
"RT @Elcholo224: Hervé Renard &gt; Guardiola + Mourinho.
#CIVMAR #WorldCupqualifiers #WorldCup2018";fr;
Bon courage à toi pour sortir du stade Marco ! #CIVMAR https://t.co/bjAbOciZH3;fr;
"WATCH LIVE: Côte d'Ivoire vs Morocco #WCQ 

Live Stream - https://t.co/1Zs2nHPyAk 

#WCQ2018 #WCQ18  #MARCIV… https://t.co/gzUVcInuLF";fr;
50 millions de nos pauvres Francs CFA pour « ça »... https://t.co/7PrkRdEAz6;fr;
